user_id,signup_date,segment,acquisition_channel,platform,geography_id,demographic_id,cohort
1,2026-02-07,patient,paid,iOS,4,5,control
2,2026-01-23,everyday_person,organic,iOS,7,87,control
3,2026-02-15,athlete,app_store_search,Android,2,26,control
4,2026-01-30,patient,organic,iOS,1,86,control
5,2026-01-12,everyday_person,referral,iOS,6,68,control
6,2026-02-10,athlete,organic,iOS,5,25,control
7,2026-01-24,patient,referral,Android,4,57,control
8,2026-01-13,patient,organic,Android,6,5,control
9,2026-01-13,everyday_person,organic,Android,6,85,control
10,2026-01-31,everyday_person,referral,Android,4,37,control
11,2026-01-08,everyday_person,organic,Android,8,47,control
12,2026-01-18,athlete,organic,Android,5,19,control
13,2026-01-13,patient,app_store_search,iOS,5,44,control
14,2026-01-23,patient,organic,Android,3,48,control
15,2026-01-22,everyday_person,referral,iOS,1,27,control
16,2026-01-25,everyday_person,referral,iOS,2,118,control
17,2026-01-18,everyday_person,organic,iOS,6,34,control
18,2026-01-06,everyday_person,referral,Android,5,22,control
19,2026-01-28,patient,organic,Android,3,66,control
20,2026-01-21,patient,paid,Web,4,39,control
21,2026-01-30,patient,organic,Web,1,55,control
22,2026-01-11,everyday_person,organic,Android,2,88,control
23,2026-01-04,athlete,organic,iOS,8,10,control
24,2026-01-17,athlete,app_store_search,Android,3,62,control
25,2026-01-23,patient,paid,Android,2,3,control
26,2026-01-21,everyday_person,app_store_search,Android,3,6,control
27,2026-02-05,everyday_person,paid,iOS,3,12,control
28,2026-01-21,everyday_person,paid,iOS,5,20,control
29,2026-01-25,everyday_person,referral,Web,8,42,control
30,2026-01-28,patient,app_store_search,iOS,4,113,control
31,2026-01-05,patient,referral,iOS,4,109,control
32,2026-01-25,athlete,organic,iOS,3,13,control
33,2026-01-20,everyday_person,referral,iOS,4,119,control
34,2026-01-22,everyday_person,referral,iOS,2,77,control
35,2026-01-11,everyday_person,organic,Web,1,67,control
36,2026-02-04,everyday_person,organic,Android,7,96,control
37,2026-02-14,everyday_person,organic,Web,3,59,control
38,2026-01-05,everyday_person,paid,iOS,3,32,summary_cohort
39,2026-01-28,everyday_person,organic,iOS,1,64,control
40,2026-02-03,patient,paid,iOS,6,88,summary_cohort
41,2026-01-18,everyday_person,organic,iOS,1,82,control
42,2026-02-04,patient,paid,iOS,3,21,control
43,2026-01-29,patient,organic,Android,6,113,control
44,2026-02-13,everyday_person,app_store_search,Web,3,35,control
45,2026-02-18,patient,referral,iOS,7,99,control
46,2026-01-07,patient,organic,iOS,1,38,control
47,2026-01-23,everyday_person,organic,iOS,5,8,control
48,2026-01-26,everyday_person,organic,iOS,8,120,control
49,2026-01-13,patient,organic,iOS,4,71,control
50,2026-01-20,everyday_person,paid,iOS,5,26,control
51,2026-02-20,everyday_person,app_store_search,iOS,3,1,control
52,2026-01-05,everyday_person,paid,iOS,6,16,control
53,2026-01-23,patient,referral,Android,7,21,control
54,2026-02-07,patient,organic,iOS,5,112,control
55,2026-01-19,patient,paid,iOS,7,22,control
56,2026-01-24,patient,paid,iOS,4,20,control
57,2026-02-18,everyday_person,organic,iOS,4,101,control
58,2026-01-24,everyday_person,app_store_search,Android,2,106,control
59,2026-01-13,everyday_person,organic,Android,5,26,control
60,2026-01-08,everyday_person,paid,Android,7,79,control
61,2026-02-14,patient,app_store_search,Android,5,65,control
62,2026-01-18,everyday_person,paid,iOS,2,70,control
63,2026-01-25,everyday_person,organic,iOS,4,38,control
64,2026-01-10,patient,referral,iOS,6,91,control
65,2026-01-22,patient,organic,iOS,7,106,control
66,2026-02-13,everyday_person,paid,Android,1,88,control
67,2026-01-25,everyday_person,organic,iOS,1,109,control
